"spp","1","2","3","4","5","6","7","8"
"Gehyra_catenata",NA,NA,"1",NA,NA,NA,NA,NA
"Gehyra_dubia","1",NA,"1",NA,NA,NA,NA,NA
"Gehyra_koira",NA,NA,NA,NA,"1",NA,"1",NA
"Gehyra_lazelli",NA,NA,NA,"1",NA,NA,NA,NA
"Gehyra_minuta",NA,NA,NA,NA,NA,NA,"1",NA
"Gehyra_montium",NA,NA,NA,"1","1",NA,"1",NA
"Gehyra_nana",NA,NA,"1",NA,"1",NA,"1",NA
"Gehyra_occidentalis",NA,NA,NA,NA,"1",NA,NA,NA
"Gehyra_pamela",NA,NA,NA,NA,NA,NA,"1",NA
"Gehyra_pilbara",NA,NA,NA,NA,"1",NA,"1",NA
"Gehyra_punctata",NA,NA,NA,NA,"1",NA,NA,NA
"Gehyra_purpurascens",NA,NA,"1","1","1",NA,"1",NA
"Gehyra_robusta",NA,NA,"1",NA,NA,NA,NA,NA
"Gehyra_variegata","1","1","1","1","1",NA,"1",NA
"Glaphyromorphus_cracens",NA,NA,"1",NA,NA,NA,NA,NA
"Glaphyromorphus_crassicaudus",NA,NA,"1",NA,NA,NA,"1",NA
"Glaphyromorphus_darwiniensis",NA,NA,NA,NA,"1",NA,"1",NA
"Glaphyromorphus_douglasi",NA,NA,NA,NA,"1",NA,"1",NA
"Glaphyromorphus_fuscicaudis",NA,NA,"1",NA,NA,NA,NA,NA
"Glaphyromorphus_isolepis",NA,NA,"1",NA,"1",NA,"1",NA
"Glaphyromorphus_mjobergi",NA,NA,"1",NA,NA,NA,NA,NA
"Glaphyromorphus_nigricaudis",NA,NA,"1",NA,NA,NA,"1",NA
"Glaphyromorphus_pardalis",NA,NA,"1",NA,NA,NA,NA,NA
"Glaphyromorphus_pumilus",NA,NA,"1",NA,NA,NA,NA,NA
"Glaphyromorphus_punctulatus",NA,NA,"1",NA,NA,NA,NA,NA
"Gnypetoscincus_queenslandiae",NA,NA,"1",NA,NA,NA,NA,NA
"Harrisoniascincus_zia","1",NA,"1",NA,NA,NA,NA,NA
"Hemiaspis_damelii","1",NA,"1",NA,NA,NA,NA,NA
"Hemiaspis_signata","1",NA,"1",NA,NA,NA,NA,NA
"Hemidactylus_frenatus","1",NA,"1",NA,"1",NA,"1",NA
"Hemiergis_decresiensis","1","1",NA,"1",NA,NA,NA,"1"
"Hemiergis_gracilipes",NA,NA,NA,NA,"1",NA,NA,NA
"Hemiergis_initialis",NA,NA,NA,"1","1",NA,NA,NA
"Hemiergis_millewae",NA,"1",NA,"1","1",NA,NA,NA
"Hemiergis_peronii",NA,"1",NA,"1","1",NA,NA,NA
"Hemiergis_quadrilineata",NA,NA,NA,NA,"1",NA,NA,NA
"Heteronotia_binoei","1","1","1","1","1",NA,"1",NA
"Heteronotia_planiceps",NA,NA,NA,NA,"1",NA,"1",NA
"Heteronotia_spelea",NA,NA,NA,NA,"1",NA,NA,NA
"Hoplocephalus_bitorquatus","1",NA,"1",NA,NA,NA,NA,NA
"Hoplocephalus_bungaroides","1",NA,NA,NA,NA,NA,NA,NA
"Hoplocephalus_stephensii","1",NA,"1",NA,NA,NA,NA,NA
"Hypsilurus_boydii",NA,NA,"1",NA,NA,NA,NA,NA
"Hypsilurus_spinipes","1",NA,"1",NA,NA,NA,NA,NA
"Lampropholis_adonis",NA,NA,"1",NA,NA,NA,NA,NA
"Lampropholis_amicula","1",NA,"1",NA,NA,NA,NA,NA
"Lampropholis_caligula","1",NA,NA,NA,NA,NA,NA,NA
"Lampropholis_coggeri",NA,NA,"1",NA,NA,NA,NA,NA
"Lampropholis_delicata","1","1","1","1",NA,"1",NA,"1"
"Lampropholis_elongata","1",NA,NA,NA,NA,NA,NA,NA
"Lampropholis_guichenoti","1","1","1","1",NA,"1",NA,"1"
"Lepidodactylus_lugubris",NA,NA,"1",NA,NA,NA,"1",NA
"Lerista_aericeps",NA,NA,"1","1",NA,NA,"1",NA
"Lerista_allanae",NA,NA,"1",NA,NA,NA,NA,NA
"Lerista_allochira",NA,NA,NA,NA,"1",NA,NA,NA
"Lerista_ameles",NA,NA,"1",NA,NA,NA,NA,NA
"Lerista_amicorum",NA,NA,NA,NA,"1",NA,NA,NA
"Lerista_apoda",NA,NA,NA,NA,"1",NA,NA,NA
"Lerista_arenicola",NA,NA,NA,"1","1",NA,NA,NA
"Lerista_axillaris",NA,NA,NA,NA,"1",NA,NA,NA
"Lerista_baynesi",NA,NA,NA,"1","1",NA,NA,NA
"Lerista_bipes",NA,NA,NA,"1","1",NA,"1",NA
"Lerista_borealis",NA,NA,NA,NA,"1",NA,"1",NA
"Lerista_bougainvillii","1","1",NA,"1",NA,"1",NA,NA
"Lerista_bunglebungle",NA,NA,NA,NA,"1",NA,NA,NA
"Lerista_carpentariae",NA,NA,NA,NA,NA,NA,"1",NA
"Lerista_chordae",NA,NA,"1",NA,NA,NA,NA,NA
"Lerista_christinae",NA,NA,NA,NA,"1",NA,NA,NA
"Lerista_cinerea",NA,NA,"1",NA,NA,NA,NA,NA
"Lerista_clara",NA,NA,NA,NA,"1",NA,NA,NA
"Lerista_colliveri",NA,NA,"1",NA,NA,NA,NA,NA
"Lerista_connivens",NA,NA,NA,NA,"1",NA,NA,NA
"Lerista_desertorum",NA,NA,NA,"1","1",NA,"1",NA
"Lerista_distinguenda",NA,NA,NA,"1","1",NA,NA,NA
"Lerista_dorsalis",NA,NA,NA,"1","1",NA,NA,NA
"Lerista_edwardsae",NA,NA,NA,"1",NA,NA,NA,NA
"Lerista_elegans",NA,NA,NA,NA,"1",NA,NA,NA
"Lerista_elongata",NA,NA,NA,"1",NA,NA,NA,NA
"Lerista_emmotti",NA,NA,"1","1",NA,NA,NA,NA
"Lerista_eupoda",NA,NA,NA,NA,"1",NA,NA,NA
"Lerista_flammicauda",NA,NA,NA,NA,"1",NA,NA,NA
"Lerista_fragilis","1",NA,"1",NA,NA,NA,NA,NA
"Lerista_frosti",NA,NA,NA,NA,NA,NA,"1",NA
"Lerista_gascoynensis",NA,NA,NA,NA,"1",NA,NA,NA
"Lerista_gerrardii",NA,NA,NA,NA,"1",NA,NA,NA
"Lerista_greeri",NA,NA,NA,NA,"1",NA,"1",NA
"Lerista_griffini",NA,NA,NA,NA,"1",NA,"1",NA
"Lerista_haroldi",NA,NA,NA,NA,"1",NA,NA,NA
"Lerista_humphriesi",NA,NA,NA,NA,"1",NA,NA,NA
"Lerista_ingrami",NA,NA,"1",NA,NA,NA,NA,NA
"Lerista_ips",NA,NA,NA,NA,"1",NA,"1",NA
"Lerista_jacksoni",NA,NA,NA,NA,"1",NA,NA,NA
"Lerista_kalumburu",NA,NA,NA,NA,"1",NA,NA,NA
"Lerista_karlschmidti",NA,NA,NA,NA,NA,NA,"1",NA
"Lerista_kendricki",NA,NA,NA,NA,"1",NA,NA,NA
"Lerista_kennedyensis",NA,NA,NA,NA,"1",NA,NA,NA
"Lerista_kingi",NA,NA,NA,NA,"1",NA,NA,NA
"Lerista_labialis","1",NA,"1","1","1",NA,"1",NA
"Lerista_lineata",NA,NA,NA,NA,"1",NA,NA,NA
"Lerista_lineopunctulata",NA,NA,NA,NA,"1",NA,NA,NA
"Lerista_macropisthopus",NA,NA,NA,NA,"1",NA,NA,NA
"Lerista_micra",NA,NA,NA,NA,"1",NA,NA,NA
"Lerista_microtis",NA,NA,NA,"1","1",NA,NA,NA
"Lerista_muelleri",NA,NA,NA,NA,"1",NA,NA,NA
"Lerista_neander",NA,NA,NA,NA,"1",NA,NA,NA
"Lerista_nevinae",NA,NA,NA,NA,"1",NA,NA,NA
"Lerista_nichollsi",NA,NA,NA,NA,"1",NA,NA,NA
"Lerista_occulta",NA,NA,NA,NA,"1",NA,NA,NA
"Lerista_onsloviana",NA,NA,NA,NA,"1",NA,NA,NA
"Lerista_orientalis",NA,NA,"1",NA,"1",NA,"1",NA
"Lerista_petersoni",NA,NA,NA,NA,"1",NA,NA,NA
"Lerista_picturata",NA,NA,NA,NA,"1",NA,NA,NA
"Lerista_planiventralis",NA,NA,NA,NA,"1",NA,NA,NA
"Lerista_praepedita",NA,NA,NA,NA,"1",NA,"1",NA
"Lerista_punctatovittata","1","1","1","1",NA,NA,NA,NA
"Lerista_puncticauda",NA,NA,NA,NA,"1",NA,NA,NA
"Lerista_quadrivincula",NA,NA,NA,NA,"1",NA,NA,NA
"Lerista_robusta",NA,NA,NA,NA,"1",NA,NA,NA
"Lerista_rochfordensis",NA,NA,"1",NA,NA,NA,NA,NA
"Lerista_rolfei",NA,NA,NA,NA,"1",NA,NA,NA
"Lerista_separanda",NA,NA,NA,NA,"1",NA,NA,NA
"Lerista_simillima",NA,NA,NA,NA,"1",NA,NA,NA
"Lerista_speciosa",NA,NA,NA,"1",NA,NA,NA,NA
"Lerista_stictopleura",NA,NA,NA,NA,"1",NA,NA,NA
"Lerista_storri",NA,NA,"1",NA,NA,NA,NA,NA
"Lerista_stylis",NA,NA,NA,NA,NA,NA,"1",NA
"Lerista_terdigitata",NA,NA,NA,"1",NA,NA,NA,NA
"Lerista_timida",NA,"1","1","1","1",NA,"1",NA
"Lerista_tridactyla",NA,NA,NA,NA,"1",NA,NA,NA
"Lerista_uniduo",NA,NA,NA,NA,"1",NA,NA,NA
"Lerista_varia",NA,NA,NA,NA,"1",NA,NA,NA
