"spp","1","2","3","4","5","6","7","8"
"Sminthopsis_bindi",NA,NA,NA,NA,NA,NA,"1",NA
"Sminthopsis_butleri",NA,NA,NA,NA,"1",NA,"1",NA
"Sminthopsis_crassicaudata","1","1","1","1","1",NA,"1","1"
"Sminthopsis_dolichura",NA,NA,NA,"1","1",NA,NA,NA
"Sminthopsis_gilberti",NA,NA,NA,NA,"1",NA,NA,NA
"Sminthopsis_griseoventer",NA,NA,NA,NA,"1",NA,NA,NA
"Sminthopsis_hirtipes",NA,NA,NA,"1","1",NA,"1",NA
"Sminthopsis_leucopus","1","1",NA,NA,NA,"1",NA,NA
"Sminthopsis_longicaudata",NA,NA,NA,NA,"1",NA,"1",NA
"Sminthopsis_macroura","1",NA,"1","1","1",NA,"1",NA
"Sminthopsis_murina","1","1","1","1",NA,NA,NA,"1"
"Sminthopsis_ooldea",NA,NA,NA,"1","1",NA,"1",NA
"Sminthopsis_psammophila",NA,NA,NA,"1","1",NA,"1",NA
"Sminthopsis_virginiae",NA,NA,"1",NA,"1",NA,"1",NA
"Sminthopsis_youngsoni",NA,NA,"1",NA,"1",NA,"1",NA
"Syconycteris_australis","1",NA,"1",NA,NA,NA,NA,NA
"Tachyglossus_aculeatus","1","1","1","1","1","1","1","1"
"Tadarida_australis","1","1","1","1","1",NA,"1","1"
"Taphozous_australis",NA,NA,"1",NA,NA,NA,NA,NA
"Taphozous_georgianus",NA,NA,"1",NA,"1",NA,"1",NA
"Taphozous_hilli",NA,NA,"1","1","1",NA,"1",NA
"Taphozous_kapalgensis",NA,NA,NA,NA,NA,NA,"1",NA
"Thylogale_billardierii",NA,"1",NA,NA,NA,"1",NA,NA
"Thylogale_stigmatica","1",NA,"1",NA,NA,NA,NA,NA
"Thylogale_thetis","1",NA,"1",NA,NA,NA,NA,NA
"Trichosurus_caninus","1","1","1",NA,NA,NA,NA,"1"
"Trichosurus_cunninghami","1","1",NA,NA,NA,NA,NA,NA
"Trichosurus_vulpecula","1","1","1","1","1","1","1","1"
"Uromys_caudimaculatus",NA,NA,"1",NA,NA,NA,NA,NA
"Vespadelus_baverstocki","1","1","1","1","1",NA,"1",NA
"Vespadelus_caurinus",NA,NA,NA,NA,"1",NA,"1",NA
"Vespadelus_darlingtoni","1","1",NA,"1",NA,"1",NA,"1"
"Vespadelus_douglasorum",NA,NA,NA,NA,"1",NA,NA,NA
"Vespadelus_finlaysoni",NA,NA,"1","1","1",NA,"1",NA
"Vespadelus_pumilus","1","1","1",NA,NA,"1",NA,NA
"Vespadelus_regulus","1","1",NA,"1","1","1",NA,"1"
"Vespadelus_troughtoni","1",NA,"1",NA,NA,NA,NA,NA
"Vespadelus_vulturnus","1","1","1","1",NA,"1",NA,"1"
"Vombatus_ursinus","1","1",NA,"1",NA,"1",NA,"1"
"Vulpes_vulpes","1","1","1","1","1","1","1","1"
"Wallabia_bicolor","1","1","1","1",NA,NA,NA,"1"
"Xeromys_myoides",NA,NA,"1",NA,NA,NA,"1",NA
"Zyzomys_argurus",NA,NA,"1",NA,"1",NA,"1",NA
"Zyzomys_maini",NA,NA,NA,NA,NA,NA,"1",NA
"Zyzomys_palatalis",NA,NA,NA,NA,NA,NA,"1",NA
"Zyzomys_pedunculatus",NA,NA,NA,NA,NA,NA,"1",NA
"Zyzomys_woodwardi",NA,NA,NA,NA,"1",NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
