xxyy"Phalaropus lobatus"xxyy
xxyy"Phaps chalcoptera"xxyy
xxyy"Phaps elegans"xxyy
xxyy"Phaps histrionica"xxyy
xxyy"Phasianus colchicus"xxyy
xxyy"Philemon argenticeps"xxyy
xxyy"Philemon buceroides"xxyy
xxyy"Philemon citreogularis"xxyy
xxyy"Philemon corniculatus"xxyy
xxyy"Philomachus pugnax"xxyy
xxyy"Phoebetria fusca"xxyy
xxyy"Phoebetria palpebrata"xxyy
xxyy"Phonygammus keraudrenii"xxyy
xxyy"Phylidonyris albifrons"xxyy
xxyy"Phylidonyris niger"xxyy
xxyy"Phylidonyris novaehollandiae"xxyy
xxyy"Phylidonyris pyrrhoptera"xxyy
xxyy"Pitta erythrogaster"xxyy
xxyy"Pitta iris"xxyy
xxyy"Pitta versicolor"xxyy
xxyy"Platalea flavipes"xxyy
xxyy"Platalea regia"xxyy
xxyy"Platycercus adscitus"xxyy
xxyy"Platycercus caledonicus"xxyy
xxyy"Platycercus elegans"xxyy
xxyy"Platycercus eximius"xxyy
xxyy"Platycercus icterotis"xxyy
xxyy"Platycercus venustus"xxyy
xxyy"Plectorhyncha lanceolata"xxyy
xxyy"Plegadis falcinellus"xxyy
xxyy"Pluvialis dominicus"xxyy
xxyy"Pluvialis fulva"xxyy
xxyy"Pluvialis squatarola"xxyy
xxyy"Podargus ocellatus"xxyy
xxyy"Podargus papuensis"xxyy
xxyy"Podargus strigoides"xxyy
xxyy"Podiceps cristatus"xxyy
xxyy"Poecilodryas cerviniventris"xxyy
xxyy"Poecilodryas superciliosa"xxyy
xxyy"Poephila acuticauda"xxyy
xxyy"Poephila cincta"xxyy
xxyy"Poephila personata"xxyy
xxyy"Poliocephalus poliocephalus"xxyy
xxyy"Polytelis alexandrae"xxyy
xxyy"Polytelis anthopeplus"xxyy
xxyy"Polytelis swainsonii"xxyy
xxyy"Pomatostomus halli"xxyy
xxyy"Pomatostomus ruficeps"xxyy
xxyy"Pomatostomus superciliosus"xxyy
xxyy"Pomatostomus temporalis"xxyy
xxyy"Porphyrio porphyrio"xxyy
xxyy"Porzana cinerea"xxyy
xxyy"Porzana fluminea"xxyy
xxyy"Porzana pusilla"xxyy
xxyy"Porzana tabuensis"xxyy
xxyy"Probosciger aterrimus"xxyy
xxyy"Procellaria aequinoctialis"xxyy
xxyy"Procellaria cinerea"xxyy
xxyy"Procellaria parkinsoni"xxyy
xxyy"Procellaria westlandica"xxyy
xxyy"Procelsterna cerulea"xxyy
xxyy"Psephotus dissimilis"xxyy
xxyy"Psephotus haematonotus"xxyy
xxyy"Psephotus varius"xxyy
xxyy"Pseudobulweria rostrata"xxyy
xxyy"Psitteuteles versicolor"xxyy
xxyy"Psophodes cristatus"xxyy
xxyy"Psophodes nigrogularis"xxyy
xxyy"Psophodes occidentalis"xxyy
xxyy"Psophodes olivaceus"xxyy
xxyy"Pterodroma cervicalis"xxyy
xxyy"Pterodroma cookii"xxyy
xxyy"Pterodroma inexpectata"xxyy
xxyy"Pterodroma lessonii"xxyy
xxyy"Pterodroma leucoptera"xxyy
xxyy"Pterodroma macroptera"xxyy
xxyy"Pterodroma mollis"xxyy
xxyy"Pterodroma neglecta"xxyy
xxyy"Pterodroma nigripennis"xxyy
xxyy"Pterodroma solandri"xxyy
xxyy"Ptilinopus cinctus"xxyy
xxyy"Ptilinopus magnificus"xxyy
xxyy"Ptilinopus regina"xxyy
xxyy"Ptilinopus superbus"xxyy
xxyy"Ptilonorhynchus cerviniventris"xxyy
xxyy"Ptilonorhynchus guttatus"xxyy
xxyy"Ptilonorhynchus maculatus"xxyy
xxyy"Ptilonorhynchus nuchalis"xxyy
xxyy"Ptilonorhynchus violaceus"xxyy
xxyy"Ptiloris magnificus"xxyy
xxyy"Ptiloris paradiseus"xxyy
xxyy"Ptiloris victoriae"xxyy
xxyy"Puffinus assimilis"xxyy
xxyy"Puffinus gavia"xxyy
xxyy"Puffinus griseus"xxyy
xxyy"Puffinus huttoni"xxyy
xxyy"Puffinus tenuirostris"xxyy
xxyy"Purnella albifrons"xxyy
xxyy"Purpureicephalus spurius"xxyy
xxyy"Pycnonotus jocosus"xxyy
xxyy"Pycnoptilus floccosus"xxyy
xxyy"Pyrrholaemus brunneus"xxyy
xxyy"Rallina tricolor"xxyy
xxyy"Ramsayornis fasciatus"xxyy
xxyy"Ramsayornis modestus"xxyy
xxyy"Recurvirostra novaehollandiae"xxyy
xxyy"Rhipidura albiscapa"xxyy
xxyy"Rhipidura dryas"xxyy
xxyy"Rhipidura fuliginosa"xxyy
xxyy"Rhipidura leucophrys"xxyy
xxyy"Rhipidura phasiana"xxyy
xxyy"Rhipidura rufifrons"xxyy
xxyy"Rhipidura rufiventris"xxyy
xxyy"Rostratula australis"xxyy
xxyy"Scenopoeetes dentirostris"xxyy
xxyy"Scythrops novaehollandiae"xxyy
xxyy"Sericornis beccarii"xxyy
xxyy"Sericornis citreogularis"xxyy
xxyy"Sericornis frontalis"xxyy
xxyy"Sericornis humilis"xxyy
xxyy"Sericornis keri"xxyy
xxyy"Sericornis magnirostra"xxyy
xxyy"Sericulus chrysocephalus"xxyy
xxyy"Smicrornis brevirostris"xxyy
xxyy"Sphecotheres vieilloti"xxyy
xxyy"Sphecotheres viridis"xxyy
xxyy"Stagonopleura bella"xxyy
xxyy"Stagonopleura guttata"xxyy
xxyy"Stagonopleura oculata"xxyy
xxyy"Stercorarius antarcticus"xxyy
xxyy"Stercorarius longicaudus"xxyy
xxyy"Stercorarius parasiticus"xxyy
xxyy"Stercorarius pomarinus"xxyy
xxyy"Stercorarius skua"xxyy
xxyy"Sterna dougallii"xxyy
